               CRI Profile Diagnostic Statements by Subject Tag (or Vice Versa),               CRI Profile Diagnostic Statements by Subject Tag (or Vice Versa),               CRI Profile Diagnostic Statements by Subject Tag (or Vice Versa),               CRI Profile Diagnostic Statements by Subject Tag (or Vice Versa),               CRI Profile Diagnostic Statements by Subject Tag (or Vice Versa)
#staffing_and_resource_management,GV.RR-03.02: The organization regularly assesses its skill and resource level requirements against its current personnel complement to determine gaps in resource need.,"GOVERN / Roles, Responsibilities, and Authorities / Resource Adequacy",GV.RR-03.02,021.054
#staffing_and_resource_management,"GV.RR-03.03: The organization provides adequate resources, appropriate authority, and access to the governing authority for the designated Cybersecurity Officer (e.g., CISO).","GOVERN / Roles, Responsibilities, and Authorities / Resource Adequacy",GV.RR-03.03,021.055
#staffing_and_resource_management,"GV.PO-01.03: The organization's incentive programs are consistent with cyber risk management objectives, and technology and cybersecurity policies integrate with an employee accountability policy to ensure that all personnel are held accountable for complying with policies.","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.03,024.061
#staffing_and_resource_management,"ID.RA-01.01: The organization identifies, assesses, and documents risks and potential vulnerabilities associated with assets, to include workforce, data, technology, facilities, services, and connections.",IDENTIFY / Risk Assessment / Asset Vulnerability Identification,ID.RA-01.01,055.111
#staffing_and_resource_management,"PR.AT-02.01: Mechanisms are in place to ensure that the personnel working with cybersecurity and technology (e.g., developers, DBAs, network admins, etc.) maintain current knowledge and skills related to changing threats, countermeasures, new tools, best practices, and their job responsibilities.",PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.01,078.179
#staffing_and_resource_management,"PR.AT-02.02: High-risk groups, such as those with elevated privileges or in sensitive business functions (including privileged users, senior executives, cybersecurity personnel and third-party stakeholders), receive cybersecurity situational awareness training for their roles and responsibilities.",PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.02,078.180
#staffing_and_resource_management,PR.AT-02.03: All personnel (employee and third party) are made aware of and are trained for their role and operational steps in response and recovery plans.,PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.03,078.181
#staffing_and_resource_management,PR.AT-02.04: The organization maintains and enhances the skills and knowledge of the in-house staff performing incident management and forensic investigation activities.,PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.04,078.182
#staffing_and_resource_management,PR.AT-02.05: All third party staff receive cybersecurity awareness and job training sufficient for them to perform their duties and maintain organizational security.,PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.05,078.183
#staffing_and_resource_management,"PR.AT-02.07: The organization's governing body (e.g., the Board or one of its committees) and senior management receive cybersecurity situational awareness training to include appropriate skills and knowledge to: 
(1) Evaluate and manage cyber risks;
(2) Promote a culture that recognizes that staff at all levels have important responsibilities in ensuring the organization's cyber resilience; and
(3) Lead by example.",PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.07,078.185
#staffing_and_resource_management,"RS.MI-01.01: The organization has established processes to implement vulnerability mitigation plans, involve third-party partners and outside expertise as needed, and contain incidents in a timely manner.",RESPOND / Incident Mitigation / Incident Containment,RS.MI-01.01,127.274
#staffing_and_resource_management,"EX.DD-02.02: The organization reviews and evaluates the proposed business arrangement, to include the proposed fee structures, incentives, and penalties, proposed staff resources, viability of proposed approaches, and business terms, to ensure that products or services are being obtained at competitive and reasonable costs and terms.",EXTEND / Procurement Planning and Due Diligence / Prospective Third Party Due Diligence,EX.DD-02.02,143.291
#staffing_and_resource_management,"EX.CN-01.01: Contracts with suppliers clearly detail the general terms, nature, and scope of the arrangement, to include the distribution of responsibilities between the parties; costs, compensation, reimbursements, incentives, and penalties; service level agreements, performance measures, and benchmarks; responsibilities for providing, receiving, and retaining information; recourse provisions; and the organization's rights to review, monitor, and audit the supplier's activities.",EXTEND / Third-Party Contracts and Agreements / Contract General Requirements,EX.CN-01.01,147.299
#staffing_and_resource_management,"EX.MM-01.01: The organization implements procedures, and allocates sufficient resources with the requisite knowledge and experience, to manage and monitor its third-party relationships to a degree and extent commensurate with the risk each third party poses to the organization and the criticality of the third party's products, services, and/or relationship to the organization.",EXTEND / Monitoring and Managing Suppliers / Ongoing Third-Party Monitoring,EX.MM-01.01,150.306
#staffing_and_resource_management,"EX.MM-01.04: The organization regularly assesses critical third party adherence to service level agreements, product specifications, performance metrics, resource level/skill commitments, and quality expectations; addresses performance issues; and exercises contract penalties or credits as warranted.",EXTEND / Monitoring and Managing Suppliers / Ongoing Third-Party Monitoring,EX.MM-01.04,150.309
